site,slope_hours_per_decade,p,r2
"Cambridge, UK",7.03,0.012693622577534003,0.102
"Ghent, BE",12.56,0.0028031716455634336,0.144
"Halle, DE",21.31,1.052717103568076e-06,0.339
"Oak Park, IE",0.74,0.5511669704132016,0.006
"Orleans (Beauce), FR",23.37,0.00020146864790310246,0.214
"Rennes, FR",14.53,0.0012521667065548436,0.166
"Roskilde, DK",4.27,0.0096584041493,0.11
"Rothamsted, UK",5.98,0.015147430061593579,0.097
"Uppsala, SE",5.0,0.07917965700618214,0.052
"Wageningen, NL",8.86,0.010646285349654673,0.107
ALL SITES (mean),10.36,0.00030946564824816276,0.202
