rxn_id,enzyme_id,parameter,ident,top_descriptor,identifiable_from_growth
ENO,,Topt_i,1.0,Topt_C,True
H2Ot,,Topt_i,0.6666666666666666,Topt_C,True
CO2t,,Topt_i,0.3333333333333333,Topt_C,True
NADH16,,Topt_i,0.3333333333333333,Topt_C,True
GND,,Topt_i,0.35076169969175314,CT_max_C,True
PGK,,Topt_i,1.0,CT_max_C,True
SUCDi,,Topt_i,0.00029425270155796846,CT_max_C,False
PIt2r,,Topt_i,0.002212968229320581,niche_width_C,False
MALS,,Topt_i,0.0009221639487664423,CT_max_C,False
PGM,,Topt_i,0.0029606516026215984,niche_width_C,False
PFK,,Topt_i,0.0020128973229278776,CT_max_C,False
PGI,,Topt_i,0.007486794340361462,niche_width_C,False
GAPD,,Topt_i,0.002583153712473503,niche_width_C,False
CS,,Topt_i,6.849337711056448e-05,niche_width_C,False
ACONTb,,Topt_i,0.00011060021996954566,niche_width_C,False
ACONTa,,Topt_i,0.0010572552112935423,CT_max_C,False
GLUDy,,Topt_i,8.371827694861945e-05,niche_width_C,False
MDH,,Topt_i,0.00015546671049945118,niche_width_C,False
GLNS,,Topt_i,3.350254222624879e-05,CT_max_C,False
NH4t,,Topt_i,0.0037622957045115733,niche_width_C,False
ICL,,Topt_i,6.199475543474038e-06,niche_width_C,False
PGL,,Topt_i,0.012269312883181909,CT_max_C,False
TALA,,Topt_i,0.01832554709637077,niche_width_C,False
ACt2r,,Topt_i,0.012917207582054113,CT_max_C,False
PYK,,Topt_i,0.03684389040472895,niche_width_C,False
CYTBD,,Topt_i,0.18280933008591013,niche_width_C,True
PTAr,,Topt_i,0.23119618904520403,niche_width_C,True
GLCpts,,Topt_i,0.13124634954749265,niche_width_C,True
TKT2,,Topt_i,0.0929082603645189,CT_max_C,True
NADTRHD,,Topt_i,0.0827537473498399,niche_width_C,True
TKT1,,Topt_i,0.06759405996810165,CT_max_C,True
RPE,,Topt_i,0.05976441268302124,niche_width_C,True
TPI,,Topt_i,0.0070286847092019995,niche_width_C,False
ACKr,,Topt_i,0.04708433122280732,CT_max_C,False
O2t,,Topt_i,0.02293475274741933,CT_max_C,False
G6PDH2r,,Topt_i,0.022170766064892402,CT_max_C,False
PDH,,Topt_i,0.012069178748844585,niche_width_C,False
FUM,,Topt_i,0.0029006796539828984,niche_width_C,False
RPI,,Topt_i,0.021070867523075597,niche_width_C,False
FUMt2_2,,Topt_i,5.898430694486565e-15,niche_width_C,False
ENO,,dCp_i,0.827826276270964,niche_width_C,True
H2Ot,,dCp_i,1.0,niche_width_C,True
CO2t,,dCp_i,0.3201942924776589,niche_width_C,True
NADH16,,dCp_i,0.1396594759169511,niche_width_C,True
GND,,dCp_i,1.0,Topt_C,True
PGK,,dCp_i,1.0,CT_max_C,True
SUCDi,,dCp_i,0.00014629271233804214,CT_max_C,False
PIt2r,,dCp_i,0.0026952957229647322,niche_width_C,False
MALS,,dCp_i,0.0011270305528960419,CT_max_C,False
PGM,,dCp_i,0.0015326920686650888,CT_max_C,False
PFK,,dCp_i,0.0007183923533378479,CT_max_C,False
PGI,,dCp_i,0.002724807408369199,CT_max_C,False
GAPD,,dCp_i,0.0007483153854603019,CT_max_C,False
CS,,dCp_i,4.0410318413576147e-05,CT_max_C,False
ACONTb,,dCp_i,0.00011439950371631063,CT_max_C,False
ACONTa,,dCp_i,0.0008039824642915986,CT_max_C,False
GLUDy,,dCp_i,1.2384990044217952e-05,CT_max_C,False
MDH,,dCp_i,2.6033460899801678e-05,CT_max_C,False
GLNS,,dCp_i,2.2046064749335232e-05,CT_max_C,False
NH4t,,dCp_i,0.005776734333897944,niche_width_C,False
ICL,,dCp_i,2.6886134282265495e-06,CT_max_C,False
PGL,,dCp_i,0.015240158688456754,niche_width_C,False
TALA,,dCp_i,0.012617143168816413,CT_max_C,False
ACt2r,,dCp_i,0.006568246466000681,CT_max_C,False
PYK,,dCp_i,0.024890598747270558,CT_max_C,False
CYTBD,,dCp_i,0.33587057626646594,CT_max_C,True
PTAr,,dCp_i,0.21430214830704314,CT_max_C,True
GLCpts,,dCp_i,0.07502484014236196,CT_max_C,True
TKT2,,dCp_i,0.10174103689922659,CT_max_C,True
NADTRHD,,dCp_i,0.06893314186037476,CT_max_C,True
TKT1,,dCp_i,0.04031222354958214,CT_max_C,False
RPE,,dCp_i,0.043255445411178324,CT_max_C,False
TPI,,dCp_i,0.0031581660185903255,CT_max_C,False
ACKr,,dCp_i,0.018439925965599253,CT_max_C,False
O2t,,dCp_i,0.037292669864010954,niche_width_C,False
G6PDH2r,,dCp_i,0.03589856799238956,niche_width_C,False
PDH,,dCp_i,0.04540463943490078,CT_max_C,False
FUM,,dCp_i,0.003021750826105315,CT_max_C,False
RPI,,dCp_i,0.01683794891645835,CT_max_C,False
FUMt2_2,,dCp_i,0.0,Topt_C,False
ENO,,kcat_i,1.0,rmax,True
PGK,,kcat_i,0.0,rmax,False
H2Ot,,kcat_i,0.5790362642037529,rmax,True
CO2t,,kcat_i,0.375900423169514,rmax,True
CYTBD,,kcat_i,0.0,rmax,False
GLCpts,,kcat_i,0.0,rmax,False
FBA,,kcat_i,0.0724363777499743,rmax,True
NADH16,,kcat_i,0.12285807145376254,rmax,True
PTAr,,kcat_i,0.0,rmax,False
GND,,kcat_i,0.09803591300778013,rmax,True
PGI,,kcat_i,0.0,rmax,False
ATPS4r,,kcat_i,0.062370543902838256,rmax,True
NADTRHD,,kcat_i,0.0,rmax,False
