T,Dose,Replicate,delta_Ninoc_to_N0_min,N_inoculation_cells_per_L
15,0.06,R1,419.5,10000000
15,0.06,R2,427.2,10000000
15,0.06,R3,234.4,10000000
15,0.12,R1,423.3,10000000
15,0.12,R2,360.5,10000000
15,0.12,R3,261.5,10000000
15,0.25,R1,357.8,10000000
15,0.25,R2,284,10000000
15,0.25,R3,440.2,10000000
15,0.5,R1,426.1,10000000
15,0.5,R2,321.4,10000000
15,0.5,R3,341.7,10000000
15,1,R1,432.5,10000000
15,1,R3,310.4,10000000
15,2,R1,369.3,10000000
15,2,R2,241.1,10000000
15,2,R3,254.8,10000000
15,4,R1,479.6,10000000
15,4,R2,239.8,10000000
15,4,R3,242.6,10000000
15,Control,R1,425.5,10000000
15,Control,R2,327.7,10000000
15,Control,R3,328.4,10000000
18,0.06,R1,471.8,10000000
18,0.06,R2,270.2,10000000
18,0.06,R3,490.6,10000000
18,0.12,R1,290,10000000
18,0.12,R2,255.9,10000000
18,0.12,R3,232.3,10000000
18,0.25,R1,323.9,10000000
18,0.25,R2,424.5,10000000
18,0.25,R3,491.1,10000000
18,0.5,R1,292.2,10000000
18,0.5,R2,259.1,10000000
18,0.5,R3,440.3,10000000
18,1,R1,243.1,10000000
18,1,R2,236.9,10000000
18,1,R3,388.6,10000000
18,2,R1,477.3,10000000
18,2,R2,321.1,10000000
18,2,R3,281.4,10000000
18,4,R1,349.3,10000000
18,4,R2,350.2,10000000
18,4,R3,235.5,10000000
18,Control,R1,410.2,10000000
18,Control,R2,413,10000000
18,Control,R3,326.3,10000000
21,0.06,R1,318.2,10000000
21,0.06,R2,456.1,10000000
21,0.06,R3,368.8,10000000
21,0.12,R1,456.1,10000000
21,0.12,R2,474.7,10000000
21,0.12,R3,390.5,10000000
21,0.25,R1,467.4,10000000
21,0.25,R2,304.1,10000000
21,0.25,R3,324.9,10000000
21,0.5,R1,294.1,10000000
21,0.5,R2,263,10000000
21,0.5,R3,324.3,10000000
21,1,R1,488.1,10000000
21,1,R2,248.6,10000000
21,1,R3,395.6,10000000
21,2,R1,384.8,10000000
21,2,R2,315.6,10000000
21,2,R3,300.4,10000000
21,4,R1,308.8,10000000
21,4,R2,394.3,10000000
21,4,R3,291.7,10000000
21,Control,R1,295.7,10000000
21,Control,R2,470.4,10000000
21,Control,R3,246.2,10000000
24,0.06,R1,292.1,10000000
24,0.06,R2,278.9,10000000
24,0.06,R3,375.4,10000000
24,0.12,R1,255.7,10000000
24,0.12,R2,364.6,10000000
24,0.12,R3,315.1,10000000
24,0.25,R1,347.2,10000000
24,0.25,R2,475.2,10000000
24,0.25,R3,384.2,10000000
24,0.5,R1,257,10000000
24,0.5,R2,447.2,10000000
24,0.5,R3,475.9,10000000
24,1,R1,468.2,10000000
24,1,R2,454.1,10000000
24,1,R3,385.1,10000000
24,2,R1,234.3,10000000
24,2,R2,305.4,10000000
24,2,R3,445.5,10000000
24,4,R1,314.2,10000000
24,4,R2,287.1,10000000
24,4,R3,372,10000000
24,Control,R1,358.5,10000000
24,Control,R2,364.1,10000000
24,Control,R3,352.5,10000000
26,0.06,R1,328.5,10000000
26,0.06,R2,485.2,10000000
26,0.06,R3,428.5,10000000
26,0.12,R1,377.7,10000000
26,0.12,R2,347.3,10000000
26,0.12,R3,401.5,10000000
26,0.25,R1,359.6,10000000
26,0.25,R2,437.8,10000000
26,0.25,R3,269.6,10000000
26,0.5,R1,429,10000000
26,0.5,R2,331.1,10000000
26,0.5,R3,263.4,10000000
26,1,R1,345.4,10000000
26,1,R2,239.2,10000000
26,1,R3,259.9,10000000
26,2,R1,389.7,10000000
26,2,R2,308.8,10000000
26,2,R3,235.6,10000000
26,4,R1,338.2,10000000
26,4,R2,316.7,10000000
26,4,R3,290.1,10000000
26,Control,R1,247.9,10000000
26,Control,R2,291.1,10000000
26,Control,R3,464.9,10000000
27,0.06,R1,354.6,10000000
27,0.06,R2,434.6,10000000
27,0.06,R3,464.6,10000000
27,0.12,R1,269.2,10000000
27,0.12,R2,401.5,10000000
27,0.12,R3,461.9,10000000
27,0.25,R1,481.7,10000000
27,0.25,R2,314.3,10000000
27,0.25,R3,324.2,10000000
27,0.5,R1,414.3,10000000
27,0.5,R2,391.3,10000000
27,0.5,R3,376.6,10000000
27,1,R1,268.2,10000000
27,1,R3,454.5,10000000
27,2,R1,433.8,10000000
27,2,R2,378,10000000
27,2,R3,422.6,10000000
27,4,R2,408.2,10000000
27,4,R3,360.3,10000000
27,Control,R1,384.8,10000000
27,Control,R2,387.3,10000000
27,Control,R3,455.8,10000000
28,0.06,R1,438.8,10000000
28,0.06,R2,298.7,10000000
28,0.06,R3,354.3,10000000
28,0.12,R1,434.4,10000000
28,0.12,R2,481.1,10000000
28,0.12,R3,430.2,10000000
28,0.25,R1,486.3,10000000
28,0.25,R2,269.2,10000000
28,0.25,R3,390.3,10000000
28,0.5,R1,231.9,10000000
28,0.5,R2,365.7,10000000
28,0.5,R3,285.8,10000000
28,1,R1,452.8,10000000
28,1,R2,360.9,10000000
28,1,R3,232.5,10000000
28,2,R1,453.6,10000000
28,2,R2,287.3,10000000
28,2,R3,370.3,10000000
28,4,R1,264.2,10000000
28,4,R2,365.4,10000000
28,4,R3,463.3,10000000
28,Control,R1,354.7,10000000
28,Control,R2,427.7,10000000
28,Control,R3,259.2,10000000
