,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P77467,312.42371634999995,10,262,328.717325,7.588735,,-5080.320870863609,1000,predicted,Mean
P76077,316.03371634999996,10,309,328.717325,7.588735,,-4752.011525384217,1000,predicted,Mean
P76078,317.716556284,10,95,328.717325,7.588735,,-3307.3163757006682,1000,BullShit,Mean
P76079,314.58971635,10,248,328.717325,7.588735,,-4287.1165851732,1000,predicted,Mean
P76081,317.716556284,10,356,328.717325,7.588735,,-2860.7870446469024,1000,BullShit,Mean
P07762,313.90922238504,10,728,323.67238268,4.07,326.75,-2980.5757137150413,1000,predicted,Exp
P32166,314.1927797574619,10,308,332.483740134755,4.07,,-6138.7783099153185,1000,predicted,Exp
P0ABU0,313.20658947225155,10,285,326.339170763495,4.07,,-3193.836264437241,1000,predicted,Exp
P13016,313.32804391379386,10,183,326.776057243863,4.07,,-3472.2563544577074,1000,predicted,Exp
P10371,315.1781963762405,10,245,325.639915022448,4.07,,-5523.850414877251,1000,predicted,Exp
P26647,313.5188620289731,10,245,327.46245334163,4.07,,-4220.129301806781,1000,predicted,Exp
P45568,312.29482438274,10,398,328.25368483,4.07,329.35,-5668.851863425331,1000,predicted,Exp
P77488,311.52313687682,10,620,322.88070819,4.07,325.35,-4401.477379291213,1000,predicted,Exp
P0AEW9,312.51386411045905,10,312,329.041597519637,4.07,,-5252.915381731073,1000,predicted,Exp
P08331,319.06400647661997,10,647,331.82628229,4.07,334.55,-3114.3243730891477,1000,predicted,Exp
P0A9D8,319.88878024696004,10,274,342.58446132,4.07,344.27,-3727.3333563608794,1000,predicted,Exp
P62707,314.93948532942,10,250,322.18411989,4.07,323.7,-2895.295143704854,1000,predicted,Exp
P37689,316.13349111096,10,514,331.67334932,4.07,336.23571429,-4156.61997255231,1000,predicted,Exp
P76082,316.03371634999996,10,255,328.717325,7.588735,,-3957.8061415173497,1000,predicted,Mean
P15047,316.75571635,10,248,328.717325,7.588735,,-3162.8478440227022,1000,predicted,Mean
P0ABR9,310.97971635,10,314,328.717325,7.588735,,-5316.237650103805,1000,predicted,Mean
P37674,317.716556284,10,157,328.717325,7.588735,,-5900.144958551085,1000,BullShit,Mean
P37675,317.716556284,10,425,328.717325,7.588735,,-3915.4435177639093,1000,BullShit,Mean
P37672,314.58971635,10,332,328.717325,7.588735,,-4416.454089469988,1000,predicted,Mean
P37676,317.716556284,10,328,328.717325,7.588735,,-3418.399785930469,1000,BullShit,Mean
P30863,312.34781699900157,10,267,325.847183449646,4.07,,-5802.676877922149,1000,predicted,Exp
Q46857,313.01163205561994,10,275,323.04076279,4.07,325.75,-2905.298244831425,1000,predicted,Exp
P77231,312.42371634999995,10,292,328.717325,7.588735,,-4500.204043558788,1000,predicted,Mean
P62617,313.86771635,10,159,328.717325,7.588735,,-3947.6017669131,1000,predicted,Mean
Q46893,315.14945525660437,10,236,338.522141210807,4.07,,-3865.162281962318,1000,predicted,Exp
P0AB77,312.71855247262,10,398,327.18076429,4.07,331.45,-1550.57552826237,1000,predicted,Exp
P26281,305.20371635,10,159,328.717325,7.588735,,-3429.036015601463,1000,experimental,Mean
Q6BF16,315.3117163499999,10,205,328.717325,7.588735,,-3085.9409223223506,1000,predicted,Mean
P31459,313.86771635,10,292,328.717325,7.588735,,-2753.6177053610622,1000,predicted,Mean
P37647,315.35369281216293,10,309,328.868319468212,4.07,,-1571.44023286418,1000,predicted,Exp
P0A715,312.06548803711996,10,284,319.63736704,4.07,320.95,-3792.2993194835003,1000,predicted,Exp
P0A9J4,313.606870665918,10,303,327.779031172367,4.07,,-3032.947125567382,1000,predicted,Exp
P0ABQ2,315.6762993064888,10,294,332.625896785931,4.07,,-3847.5645248396963,1000,predicted,Exp
P77161,312.42371634999995,10,292,328.717325,7.588735,,-3587.0480524867726,1000,predicted,Mean
P77044,312.42371634999995,10,288,328.717325,7.588735,,-3801.513121641279,1000,predicted,Mean
P30140,313.86771635,10,377,328.717325,7.588735,,-3016.904514071483,1000,predicted,Mean
P09151,312.43969583568,10,523,323.58056056,4.07,327.21666667,-2198.0936338704996,1000,predicted,Exp
P0A712,317.716556284,10,327,328.717325,7.588735,,-5005.807715925768,1000,BullShit,Mean
P77608,310.97971635,10,269,328.717325,7.588735,,-3409.4148027233005,1000,predicted,Mean
P77243,313.66198668649815,10,483,327.977290239202,4.07,,-2699.7995865887824,1000,predicted,Exp
P31660,310.6198211330562,10,389,324.825615586533,4.07,,-6331.723992054441,1000,predicted,Exp
P77541,314.0212090653647,10,296,326.672334767499,4.07,,-5196.0487693316,1000,predicted,Exp
P25534,317.716556284,10,392,328.717325,7.588735,,-5534.042995467296,1000,BullShit,Mean
