protein_id,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
Mycgr3G100065,297.9976576802057,10.0,364,312.436,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100095,296.1160576802057,10.0,558,308.6728,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100120,297.2331576802057,10.0,111,310.907,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100129,296.3956576802057,10.0,557,309.23199999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100165,296.6311576802057,10.0,531,309.703,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100176,296.44815768020567,10.0,1059,309.337,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100193,295.9073576802057,10.0,1003,308.2554,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100203,298.36285440151715,10.0,546,313.1663934426229,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100210,296.0238576802057,10.0,960,308.48839999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100232,296.2147576802057,10.0,1134,308.87019999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100271,296.66465768020566,10.0,420,309.77,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100273,297.6176576802057,10.0,507,311.676,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100283,297.14765768020567,10.0,468,310.736,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100284,296.1196576802057,10.0,954,308.67999999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100344,296.4671576802057,10.0,1002,309.375,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100367,296.3741576802057,10.0,556,309.18899999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100510,297.7236576802057,10.0,329,311.888,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100515,295.9018126802057,10.0,1040,308.24431,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100575,296.9401576802057,10.0,489,310.32099999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100586,296.6591576802057,10.0,496,309.75899999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100618,296.7676576802057,10.0,295,309.976,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100840,296.7876576802057,10.0,323,310.01599999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100879,296.75115768020567,10.0,509,309.943,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G100901,296.4226576802057,10.0,471,309.286,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101073,299.0040849039254,10.0,354,314.4488544474393,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101192,296.1319576802057,10.0,707,308.70459999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101210,296.8396576802057,10.0,352,310.12,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101275,305.57239961568956,10.0,370,327.5854838709677,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101387,296.2749076802057,10.0,884,308.9905,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101405,297.23415768020567,10.0,530,310.909,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101434,297.8631576802057,10.0,388,312.167,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101446,296.4671576802057,10.0,642,309.375,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101482,296.1403076802057,10.0,1321,308.7213,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101572,296.4311576802057,10.0,833,309.303,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101579,296.6016576802057,10.0,404,309.644,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
