rxn_id,enz,sub,Temp_C,pred_log10kcat
r_0001_No1,Mycgr3G100120,ferricytochrome c,5.0,1.8520523309707642
r_0001_No1,Mycgr3G100120,ferricytochrome c,9.0,1.8865636587142944
r_0001_No1,Mycgr3G100120,ferricytochrome c,13.0,1.9144352674484253
r_0001_No1,Mycgr3G100120,ferricytochrome c,17.0,1.9389164447784424
r_0001_No1,Mycgr3G100120,ferricytochrome c,21.0,1.9659565687179565
r_0001_No1,Mycgr3G100120,ferricytochrome c,25.0,1.99385404586792
r_0001_No1,Mycgr3G100120,ferricytochrome c,29.0,2.026987314224243
r_0001_No1,Mycgr3G100120,ferricytochrome c,33.0,2.0620930194854736
r_0001_No1,Mycgr3G100120,ferricytochrome c,37.0,2.098895788192749
r_0001_No1,Mycgr3G100120,ferricytochrome c,41.0,2.1400983333587646
r_0001_No1,Mycgr3G100120,ferricytochrome c,45.0,2.1847100257873535
r_0001_No2,Mycgr3G74344,ferricytochrome c,5.0,0.3491101861000061
r_0001_No2,Mycgr3G74344,ferricytochrome c,9.0,0.37403807044029236
r_0001_No2,Mycgr3G74344,ferricytochrome c,13.0,0.3983752429485321
r_0001_No2,Mycgr3G74344,ferricytochrome c,17.0,0.4215575158596039
r_0001_No2,Mycgr3G74344,ferricytochrome c,21.0,0.4429763853549957
r_0001_No2,Mycgr3G74344,ferricytochrome c,25.0,0.4624376595020294
r_0001_No2,Mycgr3G74344,ferricytochrome c,29.0,0.4793938994407654
r_0001_No2,Mycgr3G74344,ferricytochrome c,33.0,0.49669742584228516
r_0001_No2,Mycgr3G74344,ferricytochrome c,37.0,0.5147316455841064
r_0001_No2,Mycgr3G74344,ferricytochrome c,41.0,0.5323573350906372
r_0001_No2,Mycgr3G74344,ferricytochrome c,45.0,0.5470426082611084
r_0002_No1,Mycgr3G100120,ferricytochrome c,5.0,1.8520523309707642
r_0002_No1,Mycgr3G100120,ferricytochrome c,9.0,1.8865636587142944
r_0002_No1,Mycgr3G100120,ferricytochrome c,13.0,1.9144352674484253
r_0002_No1,Mycgr3G100120,ferricytochrome c,17.0,1.9389166831970215
r_0002_No1,Mycgr3G100120,ferricytochrome c,21.0,1.9659565687179565
r_0002_No1,Mycgr3G100120,ferricytochrome c,25.0,1.99385404586792
r_0002_No1,Mycgr3G100120,ferricytochrome c,29.0,2.0269875526428223
r_0002_No1,Mycgr3G100120,ferricytochrome c,33.0,2.0620930194854736
r_0002_No1,Mycgr3G100120,ferricytochrome c,37.0,2.098895788192749
r_0002_No1,Mycgr3G100120,ferricytochrome c,41.0,2.1400983333587646
r_0002_No1,Mycgr3G100120,ferricytochrome c,45.0,2.1847100257873535
r_0003_No1,Mycgr3G98802,"(R,R)-2,3-butanediol",5.0,1.175919771194458
r_0003_No1,Mycgr3G98802,"(R,R)-2,3-butanediol",9.0,1.2171778678894043
r_0003_No1,Mycgr3G98802,"(R,R)-2,3-butanediol",13.0,1.2706153392791748
r_0003_No1,Mycgr3G98802,"(R,R)-2,3-butanediol",17.0,1.3320097923278809
r_0003_No1,Mycgr3G98802,"(R,R)-2,3-butanediol",21.0,1.391366720199585
r_0003_No1,Mycgr3G98802,"(R,R)-2,3-butanediol",25.0,1.4514360427856445
