go_id,go_name,go_namespace
GO:0000164,protein phosphatase type 1 complex,cellular_component
GO:0000165,MAPK cascade,biological_process
GO:0000166,nucleotide binding,molecular_function
GO:0000171,ribonuclease MRP activity,molecular_function
GO:0000172,ribonuclease MRP complex,cellular_component
GO:0000175,3'-5'-RNA exonuclease activity,molecular_function
GO:0000176,nuclear exosome (RNase complex),cellular_component
GO:0000177,cytoplasmic exosome (RNase complex),cellular_component
GO:0000178,exosome (RNase complex),cellular_component
GO:0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",molecular_function
GO:0000182,rDNA binding,molecular_function
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",biological_process
GO:0000196,cell integrity MAPK cascade,biological_process
GO:0000209,protein polyubiquitination,biological_process
GO:0000210,NAD+ diphosphatase activity,molecular_function
GO:0000213,tRNA-intron lyase activity,molecular_function
GO:0000214,tRNA-intron endonuclease complex,cellular_component
GO:0000215,tRNA 2'-phosphotransferase activity,molecular_function
GO:0000220,"vacuolar proton-transporting V-type ATPase, V0 domain",cellular_component
GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",cellular_component
GO:0000225,N-acetylglucosaminylphosphatidylinositol deacetylase activity,molecular_function
GO:0000226,microtubule cytoskeleton organization,biological_process
GO:0000228,nuclear chromosome,cellular_component
GO:0000235,astral microtubule,cellular_component
GO:0000243,commitment complex,cellular_component
GO:0000244,spliceosomal tri-snRNP complex assembly,biological_process
GO:0000245,spliceosomal complex assembly,biological_process
GO:0000246,Delta24(24-1) sterol reductase activity,molecular_function
GO:0000248,C-5 sterol desaturase activity,molecular_function
GO:0000250,lanosterol synthase activity,molecular_function
GO:0000252,3-beta-hydroxysteroid dehydrogenase [NAD(P)+]/C4-decarboxylase activity,molecular_function
GO:0000253,3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity,molecular_function
GO:0000254,C-4 methylsterol oxidase activity,molecular_function
GO:0000256,allantoin catabolic process,biological_process
GO:0000262,mitochondrial chromosome,cellular_component
GO:0000266,mitochondrial fission,biological_process
GO:0000272,polysaccharide catabolic process,biological_process
GO:0000275,"obsolete mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)",cellular_component
GO:0000276,"obsolete mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",cellular_component
GO:0000278,mitotic cell cycle,biological_process
GO:0000280,nuclear division,biological_process
GO:0000281,mitotic cytokinesis,biological_process
GO:0000285,1-phosphatidylinositol-3-phosphate 5-kinase activity,molecular_function
GO:0000287,magnesium ion binding,molecular_function
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",biological_process
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,biological_process
GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,biological_process
GO:0000293,ferric-chelate reductase activity,molecular_function
GO:0000298,endopolyphosphatase activity,molecular_function
GO:0000302,response to reactive oxygen species,biological_process
GO:0000307,cyclin-dependent protein kinase holoenzyme complex,cellular_component
GO:0000309,nicotinamide-nucleotide adenylyltransferase activity,molecular_function
GO:0000316,sulfite transmembrane transport,biological_process
GO:0000319,sulfite transmembrane transporter activity,molecular_function
GO:0000323,lytic vacuole,cellular_component
GO:0000324,fungal-type vacuole,cellular_component
GO:0000328,fungal-type vacuole lumen,cellular_component
GO:0000329,fungal-type vacuole membrane,cellular_component
GO:0000333,telomerase catalytic core complex,cellular_component
GO:0000334,"3-hydroxyanthranilate 3,4-dioxygenase activity",molecular_function
GO:0000338,protein deneddylation,biological_process
GO:0000339,RNA cap binding,molecular_function
GO:0000340,RNA 7-methylguanosine cap binding,molecular_function
GO:0000347,THO complex,cellular_component
GO:0000349,generation of catalytic spliceosome for first transesterification step,biological_process
GO:0000350,generation of catalytic spliceosome for second transesterification step,biological_process
GO:0000378,RNA exon ligation,biological_process
GO:0000379,tRNA-type intron splice site recognition and cleavage,biological_process
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",biological_process
GO:0000384,first spliceosomal transesterification activity,molecular_function
GO:0000386,second spliceosomal transesterification activity,molecular_function
GO:0000387,spliceosomal snRNP assembly,biological_process
GO:0000389,mRNA 3'-splice site recognition,biological_process
GO:0000390,spliceosomal complex disassembly,biological_process
GO:0000393,spliceosomal conformational changes to generate catalytic conformation,biological_process
GO:0000395,mRNA 5'-splice site recognition,biological_process
GO:0000398,"mRNA splicing, via spliceosome",biological_process
GO:0000400,four-way junction DNA binding,molecular_function
GO:0000403,Y-form DNA binding,molecular_function
GO:0000404,heteroduplex DNA loop binding,molecular_function
GO:0000406,double-strand/single-strand DNA junction binding,molecular_function
GO:0000407,phagophore assembly site,cellular_component
GO:0000408,EKC/KEOPS complex,cellular_component
GO:0000413,protein peptidyl-prolyl isomerization,biological_process
GO:0000417,HIR complex,cellular_component
GO:0000421,autophagosome membrane,cellular_component
GO:0000422,autophagy of mitochondrion,biological_process
GO:0000423,mitophagy,biological_process
GO:0000425,pexophagy,biological_process
GO:0000428,DNA-directed RNA polymerase complex,cellular_component
GO:0000433,carbon catabolite repression of transcription from RNA polymerase II promoter by glucose,biological_process
GO:0000435,positive regulation of transcription from RNA polymerase II promoter by galactose,biological_process
GO:0000439,transcription factor TFIIH core complex,cellular_component
GO:0000444,MIS12/MIND type complex,cellular_component
GO:0000445,THO complex part of transcription export complex,cellular_component
GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
GO:0000448,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
GO:0000452,snoRNA guided rRNA 2'-O-methylation,biological_process
GO:0000454,snoRNA guided rRNA pseudouridine synthesis,biological_process
GO:0000455,enzyme-directed rRNA pseudouridine synthesis,biological_process
GO:0000460,maturation of 5.8S rRNA,biological_process
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
GO:0000464,"endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
GO:0000467,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
GO:0000470,maturation of LSU-rRNA,biological_process
GO:0000472,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
GO:0000480,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",biological_process
GO:0000481,maturation of 5S rRNA,biological_process
GO:0000492,box C/D snoRNP assembly,biological_process
GO:0000493,box H/ACA snoRNP assembly,biological_process
GO:0000494,box C/D sno(s)RNA 3'-end processing,biological_process
GO:0000495,box H/ACA sno(s)RNA 3'-end processing,biological_process
GO:0000502,proteasome complex,cellular_component
GO:0000506,glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex,cellular_component
GO:0000700,mismatch base pair DNA N-glycosylase activity,molecular_function
GO:0000701,purine-specific mismatch base pair DNA N-glycosylase activity,molecular_function
GO:0000702,oxidized base lesion DNA N-glycosylase activity,molecular_function
GO:0000703,oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity,molecular_function
GO:0000705,achiasmate meiosis I,biological_process
GO:0000706,meiotic DNA double-strand break processing,biological_process
GO:0000707,meiotic DNA recombinase assembly,biological_process
GO:0000708,meiotic strand invasion,biological_process
GO:0000709,meiotic joint molecule formation,biological_process
GO:0000710,meiotic mismatch repair,biological_process
GO:0000712,resolution of meiotic recombination intermediates,biological_process
GO:0000715,"nucleotide-excision repair, DNA damage recognition",biological_process
GO:0000719,photoreactive repair,biological_process
GO:0000722,telomere maintenance via recombination,biological_process
GO:0000723,telomere maintenance,biological_process
GO:0000724,double-strand break repair via homologous recombination,biological_process
GO:0000725,recombinational repair,biological_process
GO:0000727,double-strand break repair via break-induced replication,biological_process
GO:0000729,DNA double-strand break processing,biological_process
GO:0000730,DNA recombinase assembly,biological_process
GO:0000731,DNA synthesis involved in DNA repair,biological_process
GO:0000735,removal of nonhomologous ends,biological_process
GO:0000741,karyogamy,biological_process
GO:0000742,karyogamy involved in conjugation with cellular fusion,biological_process
GO:0000743,nuclear migration involved in conjugation with cellular fusion,biological_process
GO:0000747,conjugation with cellular fusion,biological_process
GO:0000750,pheromone-dependent signal transduction involved in conjugation with cellular fusion,biological_process
GO:0000773,phosphatidyl-N-methylethanolamine N-methyltransferase activity,molecular_function
GO:0000774,adenyl-nucleotide exchange factor activity,molecular_function
GO:0000775,"chromosome, centromeric region",cellular_component
GO:0000776,kinetochore,cellular_component
GO:0000779,"condensed chromosome, centromeric region",cellular_component
GO:0000781,"chromosome, telomeric region",cellular_component
GO:0000785,chromatin,cellular_component
GO:0000786,nucleosome,cellular_component
GO:0000792,heterochromatin,cellular_component
GO:0000793,condensed chromosome,cellular_component
GO:0000794,condensed nuclear chromosome,cellular_component
GO:0000795,synaptonemal complex,cellular_component
GO:0000796,condensin complex,cellular_component
GO:0000808,origin recognition complex,cellular_component
GO:0000811,GINS complex,cellular_component
GO:0000812,Swr1 complex,cellular_component
GO:0000813,ESCRT I complex,cellular_component
GO:0000814,ESCRT II complex,cellular_component
GO:0000815,ESCRT III complex,cellular_component
GO:0000819,sister chromatid segregation,biological_process
GO:0000822,inositol hexakisphosphate binding,molecular_function
GO:0000824,"inositol-1,4,5,6-tetrakisphosphate 3-kinase activity",molecular_function
GO:0000827,"inositol-1,3,4,5,6-pentakisphosphate kinase activity",molecular_function
GO:0000828,inositol hexakisphosphate kinase activity,molecular_function
GO:0000829,diphosphoinositol pentakisphosphate kinase activity,molecular_function
GO:0000830,inositol hexakisphosphate 4-kinase activity,molecular_function
GO:0000831,inositol hexakisphosphate 6-kinase activity,molecular_function
GO:0000832,inositol hexakisphosphate 5-kinase activity,molecular_function
GO:0000837,Doa10p ubiquitin ligase complex,cellular_component
GO:0000839,Hrd1p ubiquitin ligase ERAD-L complex,cellular_component
GO:0000902,cell morphogenesis,biological_process
GO:0000906,"6,7-dimethyl-8-ribityllumazine synthase activity",molecular_function
GO:0000917,division septum assembly,biological_process
GO:0000920,septum digestion after cytokinesis,biological_process
GO:0000921,septin ring assembly,biological_process
GO:0000922,spindle pole,cellular_component
GO:0000930,gamma-tubulin complex,cellular_component
GO:0000931,gamma-tubulin ring complex,cellular_component
GO:0000932,P-body,cellular_component
GO:0000935,division septum,cellular_component
GO:0000938,GARP complex,cellular_component
GO:0000947,amino acid catabolic process to alcohol via Ehrlich pathway,biological_process
GO:0000956,nuclear-transcribed mRNA catabolic process,biological_process
GO:0000959,mitochondrial RNA metabolic process,biological_process
GO:0000964,mitochondrial RNA 5'-end processing,biological_process
GO:0000965,mitochondrial RNA 3'-end processing,biological_process
GO:0000972,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery,biological_process
GO:0000973,post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery,biological_process
GO:0000974,Prp19 complex,cellular_component
GO:0000976,transcription cis-regulatory region binding,molecular_function
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,molecular_function
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,molecular_function
GO:0000979,RNA polymerase II core promoter sequence-specific DNA binding,molecular_function
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
GO:0000987,cis-regulatory region sequence-specific DNA binding,molecular_function
GO:0000993,RNA polymerase II complex binding,molecular_function
GO:0000994,RNA polymerase III core binding,molecular_function
GO:0000995,RNA polymerase III general transcription initiation factor activity,molecular_function
GO:0001002,RNA polymerase III type 1 promoter sequence-specific DNA binding,molecular_function
GO:0001003,RNA polymerase III type 2 promoter sequence-specific DNA binding,molecular_function
GO:0001006,RNA polymerase III type 3 promoter sequence-specific DNA binding,molecular_function
GO:0001018,mitochondrial promoter sequence-specific DNA binding,molecular_function
GO:0001042,RNA polymerase I core binding,molecular_function
GO:0001046,core promoter sequence-specific DNA binding,molecular_function
GO:0001054,obsolete RNA polymerase I activity,molecular_function
GO:0001055,obsolete RNA polymerase II activity,molecular_function
GO:0001056,obsolete RNA polymerase III activity,molecular_function
GO:0001096,TFIIF-class transcription factor complex binding,molecular_function
GO:0001097,TFIIH-class transcription factor complex binding,molecular_function
GO:0001100,negative regulation of exit from mitosis,biological_process
GO:0001139,RNA polymerase II complex recruiting activity,molecular_function
GO:0001147,transcription termination site sequence-specific DNA binding,molecular_function
GO:0001156,TFIIIC-class transcription factor complex binding,molecular_function
GO:0001164,RNA polymerase I core promoter sequence-specific DNA binding,molecular_function
GO:0001172,RNA-templated transcription,biological_process
GO:0001174,transcriptional start site selection at RNA polymerase II promoter,biological_process
GO:0001181,RNA polymerase I general transcription initiation factor activity,molecular_function
GO:0001188,RNA polymerase I preinitiation complex assembly,biological_process
GO:0001193,maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II,biological_process
GO:0001216,DNA-binding transcription activator activity,molecular_function
GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",molecular_function
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",molecular_function
GO:0001400,mating projection base,cellular_component
GO:0001401,SAM complex,cellular_component
GO:0001402,signal transduction involved in filamentous growth,biological_process
GO:0001403,invasive growth in response to glucose limitation,biological_process
GO:0001405,"PAM complex, Tim23 associated import motor",cellular_component
GO:0001408,guanine nucleotide transport,biological_process
GO:0001409,guanine nucleotide transmembrane transporter activity,molecular_function
GO:0001510,RNA methylation,biological_process
GO:0001522,pseudouridine synthesis,biological_process
GO:0001558,regulation of cell growth,biological_process
GO:0001655,urogenital system development,biological_process
GO:0001664,G protein-coupled receptor binding,molecular_function
GO:0001671,ATPase activator activity,molecular_function
GO:0001676,long-chain fatty acid metabolic process,biological_process
GO:0001678,intracellular glucose homeostasis,biological_process
GO:0001680,tRNA 3'-terminal CCA addition,biological_process
GO:0001682,tRNA 5'-leader removal,biological_process
GO:0001716,L-amino-acid oxidase activity,molecular_function
GO:0001725,stress fiber,cellular_component
GO:0001727,lipid kinase activity,molecular_function
GO:0001731,formation of translation preinitiation complex,biological_process
GO:0001732,formation of cytoplasmic translation initiation complex,biological_process
GO:0001734,mRNA m(6)A methyltransferase activity,molecular_function
GO:0001735,prenylcysteine oxidase activity,molecular_function
GO:0001881,receptor recycling,biological_process
GO:0001965,G-protein alpha-subunit binding,molecular_function
GO:0002055,adenine binding,molecular_function
GO:0002083,obsolete 4-hydroxybenzoate decaprenyltransferase activity,molecular_function
GO:0002098,tRNA wobble uridine modification,biological_process
GO:0002128,tRNA nucleoside ribose methylation,biological_process
GO:0002143,tRNA wobble position uridine thiolation,biological_process
GO:0002144,cytosolic tRNA wobble base thiouridylase complex,cellular_component
GO:0002151,G-quadruplex RNA binding,molecular_function
GO:0002161,aminoacyl-tRNA deacylase activity,molecular_function
GO:0002178,palmitoyltransferase complex,cellular_component
GO:0002181,cytoplasmic translation,biological_process
GO:0002182,cytoplasmic translational elongation,biological_process
GO:0002183,cytoplasmic translational initiation,biological_process
GO:0002184,cytoplasmic translational termination,biological_process
GO:0002188,translation reinitiation,biological_process
GO:0002189,ribose phosphate diphosphokinase complex,cellular_component
GO:0002191,cap-dependent translational initiation,biological_process
GO:0002926,tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation,biological_process
GO:0002939,tRNA N1-guanine methylation,biological_process
GO:0002940,tRNA N2-guanine methylation,biological_process
GO:0002943,tRNA dihydrouridine synthesis,biological_process
GO:0002949,tRNA threonylcarbamoyladenosine modification,biological_process
GO:0002953,5'-deoxynucleotidase activity,molecular_function
GO:0003333,amino acid transmembrane transport,biological_process
GO:0003400,regulation of COPII vesicle coating,biological_process
GO:0003676,nucleic acid binding,molecular_function
GO:0003677,DNA binding,molecular_function
GO:0003678,DNA helicase activity,molecular_function
GO:0003681,bent DNA binding,molecular_function
GO:0003682,chromatin binding,molecular_function
GO:0003684,damaged DNA binding,molecular_function
GO:0003688,DNA replication origin binding,molecular_function
GO:0003689,DNA clamp loader activity,molecular_function
GO:0003690,double-stranded DNA binding,molecular_function
GO:0003691,double-stranded telomeric DNA binding,molecular_function
GO:0003697,single-stranded DNA binding,molecular_function
GO:0003700,DNA-binding transcription factor activity,molecular_function
GO:0003712,transcription coregulator activity,molecular_function
GO:0003713,transcription coactivator activity,molecular_function
GO:0003714,transcription corepressor activity,molecular_function
GO:0003720,telomerase activity,molecular_function
GO:0003721,obsolete telomerase RNA reverse transcriptase activity,molecular_function
GO:0003723,RNA binding,molecular_function
GO:0003724,RNA helicase activity,molecular_function
GO:0003725,double-stranded RNA binding,molecular_function
GO:0003727,single-stranded RNA binding,molecular_function
GO:0003729,mRNA binding,molecular_function
GO:0003730,mRNA 3'-UTR binding,molecular_function
GO:0003735,structural constituent of ribosome,molecular_function
GO:0003743,translation initiation factor activity,molecular_function
GO:0003746,translation elongation factor activity,molecular_function
GO:0003747,translation release factor activity,molecular_function
GO:0003755,peptidyl-prolyl cis-trans isomerase activity,molecular_function
GO:0003756,protein disulfide isomerase activity,molecular_function
GO:0003774,cytoskeletal motor activity,molecular_function
GO:0003777,microtubule motor activity,molecular_function
GO:0003779,actin binding,molecular_function
GO:0003785,actin monomer binding,molecular_function
GO:0003824,catalytic activity,molecular_function
GO:0003825,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity",molecular_function
GO:0003838,sterol 24-C-methyltransferase activity,molecular_function
GO:0003841,1-acylglycerol-3-phosphate O-acyltransferase activity,molecular_function
GO:0003842,L-glutamate gamma-semialdehyde dehydrogenase activity,molecular_function
GO:0003843,"1,3-beta-D-glucan synthase activity",molecular_function
GO:0003844,"1,4-alpha-glucan branching enzyme activity",molecular_function
GO:0003847,1-alkyl-2-acetylglycerophosphocholine esterase activity,molecular_function
GO:0003848,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,molecular_function
GO:0003849,3-deoxy-7-phosphoheptulonate synthase activity,molecular_function
GO:0003852,2-isopropylmalate synthase activity,molecular_function
GO:0003855,3-dehydroquinate dehydratase activity,molecular_function
GO:0003856,3-dehydroquinate synthase activity,molecular_function
GO:0003857,3-hydroxyacyl-CoA dehydrogenase (NAD+) activity,molecular_function
GO:0003860,3-hydroxyisobutyryl-CoA hydrolase activity,molecular_function
GO:0003861,3-isopropylmalate dehydratase activity,molecular_function
GO:0003862,3-isopropylmalate dehydrogenase activity,molecular_function
GO:0003863,branched-chain 2-oxo acid dehydrogenase activity,molecular_function
GO:0003864,3-methyl-2-oxobutanoate hydroxymethyltransferase activity,molecular_function
GO:0003866,3-phosphoshikimate 1-carboxyvinyltransferase activity,molecular_function
GO:0003870,5-aminolevulinate synthase activity,molecular_function
GO:0003871,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,molecular_function
GO:0003872,6-phosphofructokinase activity,molecular_function
GO:0003873,6-phosphofructo-2-kinase activity,molecular_function
GO:0003876,AMP deaminase activity,molecular_function
GO:0003878,ATP citrate synthase activity,molecular_function
GO:0003879,ATP phosphoribosyltransferase activity,molecular_function
GO:0003881,CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity,molecular_function
GO:0003882,CDP-diacylglycerol-serine O-phosphatidyltransferase activity,molecular_function
GO:0003883,CTP synthase activity,molecular_function
GO:0003884,D-amino-acid oxidase activity,molecular_function
GO:0003885,"D-arabinono-1,4-lactone oxidase activity",molecular_function
GO:0003886,DNA (cytosine-5-)-methyltransferase activity,molecular_function
GO:0003887,DNA-directed DNA polymerase activity,molecular_function
GO:0003896,obsolete DNA primase activity,molecular_function
GO:0003899,DNA-directed RNA polymerase activity,molecular_function
GO:0003904,deoxyribodipyrimidine photo-lyase activity,molecular_function
GO:0003906,DNA-(apurinic or apyrimidinic site) endonuclease activity,molecular_function
GO:0003909,DNA ligase activity,molecular_function
GO:0003910,DNA ligase (ATP) activity,molecular_function
GO:0003913,DNA photolyase activity,molecular_function
GO:0003916,DNA topoisomerase activity,molecular_function
GO:0003917,"DNA topoisomerase type I (single strand cut, ATP-independent) activity",molecular_function
GO:0003918,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",molecular_function
GO:0003919,FMN adenylyltransferase activity,molecular_function
GO:0003921,GMP synthase activity,molecular_function
GO:0003922,GMP synthase (glutamine-hydrolyzing) activity,molecular_function
GO:0003923,GPI-anchor transamidase activity,molecular_function
GO:0003924,GTPase activity,molecular_function
GO:0003925,G protein activity,molecular_function
GO:0003934,GTP cyclohydrolase I activity,molecular_function
GO:0003935,GTP cyclohydrolase II activity,molecular_function
GO:0003937,IMP cyclohydrolase activity,molecular_function
GO:0003938,IMP dehydrogenase activity,molecular_function
GO:0003939,L-iditol 2-dehydrogenase (NAD+) activity,molecular_function
GO:0003941,L-serine ammonia-lyase activity,molecular_function
GO:0003942,N-acetyl-gamma-glutamyl-phosphate reductase activity,molecular_function
GO:0003949,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity,molecular_function
GO:0003951,NAD+ kinase activity,molecular_function
GO:0003952,NAD+ synthase (glutamine-hydrolyzing) activity,molecular_function
GO:0003954,NADH dehydrogenase activity,molecular_function
GO:0003955,NAD(P)H dehydrogenase (quinone) activity,molecular_function
GO:0003958,NADPH-hemoprotein reductase activity,molecular_function
GO:0003962,cystathionine gamma-synthase activity,molecular_function
GO:0003964,RNA-directed DNA polymerase activity,molecular_function
GO:0003968,RNA-directed RNA polymerase activity,molecular_function
GO:0003972,RNA ligase (ATP) activity,molecular_function
GO:0003975,UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity,molecular_function
GO:0003976,UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity,molecular_function
GO:0003977,UDP-N-acetylglucosamine diphosphorylase activity,molecular_function
GO:0003978,UDP-glucose 4-epimerase activity,molecular_function
GO:0003979,UDP-glucose 6-dehydrogenase activity,molecular_function
GO:0003980,UDP-glucose:glycoprotein glucosyltransferase activity,molecular_function
GO:0003983,UTP:glucose-1-phosphate uridylyltransferase activity,molecular_function
GO:0003984,acetolactate synthase activity,molecular_function
GO:0003985,acetyl-CoA C-acetyltransferase activity,molecular_function
GO:0003987,acetate-CoA ligase activity,molecular_function
GO:0003988,acetyl-CoA C-acyltransferase activity,molecular_function
GO:0003989,acetyl-CoA carboxylase activity,molecular_function
GO:0003991,acetylglutamate kinase activity,molecular_function
GO:0003993,acid phosphatase activity,molecular_function
GO:0003994,aconitate hydratase activity,molecular_function
GO:0003995,acyl-CoA dehydrogenase activity,molecular_function
GO:0003997,acyl-CoA oxidase activity,molecular_function
GO:0003999,adenine phosphoribosyltransferase activity,molecular_function
GO:0004000,adenosine deaminase activity,molecular_function
GO:0004001,adenosine kinase activity,molecular_function
GO:0004013,adenosylhomocysteinase activity,molecular_function
GO:0004014,adenosylmethionine decarboxylase activity,molecular_function
GO:0004015,adenosylmethionine-8-amino-7-oxononanoate transaminase activity,molecular_function
GO:0004016,adenylate cyclase activity,molecular_function
GO:0004017,AMP kinase activity,molecular_function
GO:0004018,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity",molecular_function
GO:0004019,adenylosuccinate synthase activity,molecular_function
GO:0004021,L-alanine:2-oxoglutarate aminotransferase activity,molecular_function
GO:0004022,alcohol dehydrogenase (NAD+) activity,molecular_function
GO:0004029,aldehyde dehydrogenase (NAD+) activity,molecular_function
GO:0004030,aldehyde dehydrogenase [NAD(P)+] activity,molecular_function
